userId,train,gt,rec_AMR_visual_max_k5
3,"[95875, 4995, 6534, 4776, 65514, 7438, 912, 8529, 42738, 30707, 171763, 1201, 86644, 114935, 139385, 79132, 116797]","[4226, 8985, 8665, 65682, 1252]","[6863.0, 58559.0, 111759.0, 142488.0, 858.0]"
8,"[356, 1573, 1036, 1214, 318]","[1704, 296]","[1200.0, 1377.0, 293.0, 165.0, 527.0]"
23,"[1089, 6, 231, 1704, 2028, 912, 1266, 2011]","[296, 2571, 266, 111, 318, 165]","[608.0, 111.0, 1997.0, 1193.0, 586.0]"
31,"[1377, 356, 5989, 1193, 48780, 912, 4084, 150, 6874]",[48304],"[1252.0, 111.0, 231.0, 1573.0, 293.0]"
38,"[4993, 91630, 7438, 4022, 79132]","[5952, 53972, 1089]","[58559.0, 1721.0, 5418.0, 5952.0, 33794.0]"
43,"[480, 4995, 356, 293, 1961, 5418, 2571, 7438, 1201, 1266, 4085, 2011, 3198]","[4226, 4993]","[6.0, 778.0, 6874.0, 50.0, 858.0]"
59,"[6979, 293, 1193, 111, 7153]",[1201],"[608.0, 4993.0, 912.0, 1206.0, 527.0]"
72,"[608, 1377, 1252, 1573, 356, 904, 1193, 778, 1227, 3147, 1645, 1961, 3178, 1206, 150, 2011]","[2167, 1339]","[1213.0, 1203.0, 420.0, 50.0, 1721.0]"
75,"[3198, 112552, 1961, 177593, 589, 30707, 4022, 2329, 3578, 64957, 318]","[93838, 84601]","[50.0, 3147.0, 356.0, 1584.0, 5989.0]"
80,"[1584, 586, 3147, 165]","[2410, 1201, 293]","[231.0, 1704.0, 3916.0, 778.0, 5989.0]"
84,"[5952, 3362, 112552, 1227, 5995, 109487, 111, 6863, 1201, 6874]",[142488],"[2571.0, 1203.0, 2011.0, 858.0, 6.0]"
89,"[1252, 1221, 1961, 586, 1036, 111, 912, 1721]","[2023, 1954]","[1213.0, 480.0, 6863.0, 150.0, 778.0]"
95,"[4226, 105355, 109487, 912, 104913, 1266, 1203, 142488, 2329, 3578]",[4262],"[356.0, 1213.0, 296.0, 318.0, 904.0]"
107,"[4226, 293, 1704, 2028, 858, 8638]",[2329],"[527.0, 318.0, 1193.0, 778.0, 296.0]"
109,"[1954, 4995, 356, 31364, 904, 99114, 527, 1200, 1266, 50, 4022, 6874, 68157, 1214]","[1721, 1206, 33794, 1252, 5952, 1961, 30707, 177593, 109487]","[318.0, 480.0, 296.0, 1193.0, 7438.0]"
120,"[4226, 1584, 912, 50, 1200, 1721, 1214]",[3916],"[904.0, 2571.0, 480.0, 3510.0, 5989.0]"
132,"[356, 1221, 3916, 1200, 4022, 3578, 858]","[3362, 2571, 1193]","[50.0, 231.0, 318.0, 3510.0, 1573.0]"
142,"[608, 480, 6, 589, 3578, 858]",[6874],"[1573.0, 2028.0, 1193.0, 1221.0, 293.0]"
155,"[4226, 1704, 778, 111, 5810, 50, 2167, 2329, 858, 1213]","[30707, 6365]","[8638.0, 5956.0, 4262.0, 1203.0, 3578.0]"
159,"[4993, 356, 5989, 231, 3916, 7153, 30707, 4022, 3578]",[8665],"[480.0, 6365.0, 318.0, 4995.0, 1721.0]"
166,"[231, 1704, 1193, 296, 2028, 527, 912, 1200, 1266, 1690]","[1036, 1377]","[318.0, 608.0, 1036.0, 1573.0, 6874.0]"
169,"[480, 5418, 3916, 64957, 318]",[586],"[1704.0, 30707.0, 4022.0, 5995.0, 4995.0]"
171,"[4226, 4995, 293, 6534, 2028, 527, 1584, 8529, 5810, 30707, 4085, 6550, 6934, 1213, 318]","[7438, 5574]","[3147.0, 5956.0, 858.0, 8638.0, 4993.0]"
175,"[608, 356, 1573, 165, 2571, 2167]",[1193],"[586.0, 1377.0, 1721.0, 2011.0, 1036.0]"
181,"[5254, 778, 81932, 1036, 2959, 2329, 204698, 113573, 112552, 93363, 57528, 177593, 168248, 318, 1214, 5952, 8638, 589, 103249, 858, 6874, 480, 608, 146656]","[2011, 44665, 122900, 4993, 102686, 97752]","[1704.0, 293.0, 296.0, 2028.0, 1200.0]"
187,"[4226, 6534, 65682, 69526, 8985, 72731, 97188, 293, 296, 318, 5952, 5956, 53464, 480, 6754, 356, 231, 2028, 134130, 4223]","[103688, 80363, 59369, 4084, 1370, 54771, 6874, 86644]","[266.0, 5219.0, 1200.0, 93363.0, 912.0]"
189,"[4993, 4995, 356, 1961, 2571]",[904],"[231.0, 1721.0, 48780.0, 6863.0, 50.0]"
201,"[1089, 1221, 6, 589, 527, 3578]",[2028],"[858.0, 1573.0, 1193.0, 1201.0, 296.0]"
215,[4226],[356],"[4995.0, 33794.0, 1203.0, 2571.0, 1266.0]"
216,"[608, 4995, 231, 586, 2959, 2329, 6365]","[5952, 150, 1721]","[318.0, 1704.0, 2571.0, 4993.0, 4022.0]"
217,"[6, 778, 1036, 7438, 2329, 1690, 4776, 5418, 5810, 50, 1997, 1370, 6874, 480, 1377, 5989, 2023, 231, 5995, 1266]","[296, 1645, 4993, 1089, 2411]","[420.0, 1573.0, 4084.0, 1584.0, 6365.0]"
226,"[480, 4226, 2410, 2571, 318]",[293],"[4995.0, 3916.0, 1203.0, 59369.0, 7153.0]"
